
Probabilities History (rounded to 3 digits):
Iteration 100: e: 0.16, a: 0.13, o: 0.12, n: 0.1, r: 0.09, s: 0.09, l: 0.06, d: 0.05, f: 0.04, t: 0.04, c: 0.02, i: 0.02, p: 0.02, g: 0.01, m: 0.01, w: 0.01, y: 0.01, z: 0.01, b: 0.0, h: 0.0, j: 0.0, k: 0.0, q: 0.0, u: 0.0, v: 0.0, x: 0.0
Iteration 200: e: 0.16, a: 0.12, n: 0.1, o: 0.1, r: 0.08, s: 0.07, d: 0.05, l: 0.05, t: 0.05, i: 0.04, p: 0.04, c: 0.03, f: 0.02, m: 0.02, u: 0.02, g: 0.01, j: 0.01, v: 0.01, w: 0.01, x: 0.01, y: 0.01, z: 0.01, b: 0.0, h: 0.0, k: 0.0, q: 0.0
Iteration 300: e: 0.15, a: 0.11, o: 0.09, n: 0.09, r: 0.08, i: 0.06, s: 0.06, l: 0.06, d: 0.05, t: 0.05, c: 0.05, p: 0.03, u: 0.03, m: 0.02, f: 0.01, v: 0.01, y: 0.01, z: 0.01, g: 0.0, j: 0.0, q: 0.0, w: 0.0, x: 0.0, b: 0.0, h: 0.0, k: 0.0
Iteration 400: e: 0.16, a: 0.11, o: 0.09, r: 0.09, n: 0.08, s: 0.06, i: 0.06, l: 0.06, t: 0.06, c: 0.05, d: 0.05, p: 0.03, u: 0.03, m: 0.02, f: 0.01, v: 0.01, b: 0.01, q: 0.01, j: 0.01, y: 0.01, z: 0.01, g: 0.0, w: 0.0, x: 0.0, h: 0.0, k: 0.0
Iteration 500: e: 0.16, a: 0.12, o: 0.09, r: 0.09, n: 0.07, l: 0.06, s: 0.06, t: 0.06, i: 0.05, d: 0.05, c: 0.05, m: 0.03, p: 0.02, u: 0.02, b: 0.01, f: 0.01, v: 0.01, q: 0.01, j: 0.0, y: 0.0, z: 0.0, g: 0.0, h: 0.0, w: 0.0, x: 0.0, k: 0.0
Iteration 600: e: 0.15, a: 0.11, o: 0.09, r: 0.08, n: 0.07, t: 0.07, s: 0.06, l: 0.06, i: 0.06, d: 0.05, c: 0.04, m: 0.03, u: 0.02, p: 0.02, b: 0.01, f: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, g: 0.0, j: 0.0, x: 0.0, h: 0.0, w: 0.0, k: 0.0
Iteration 700: e: 0.14, a: 0.11, o: 0.1, r: 0.08, n: 0.07, s: 0.07, t: 0.07, i: 0.06, l: 0.06, d: 0.05, c: 0.05, m: 0.03, u: 0.03, p: 0.02, b: 0.01, f: 0.01, v: 0.01, q: 0.01, g: 0.01, y: 0.01, z: 0.01, h: 0.0, j: 0.0, x: 0.0, w: 0.0, k: 0.0
Iteration 800: e: 0.14, a: 0.11, o: 0.09, r: 0.08, n: 0.07, t: 0.07, i: 0.06, s: 0.06, l: 0.06, d: 0.05, c: 0.05, m: 0.03, u: 0.03, p: 0.02, f: 0.01, b: 0.01, q: 0.01, v: 0.01, g: 0.01, y: 0.01, h: 0.0, z: 0.0, j: 0.0, x: 0.0, w: 0.0, k: 0.0
Iteration 900: e: 0.15, a: 0.11, o: 0.09, r: 0.08, s: 0.07, n: 0.07, i: 0.06, t: 0.06, l: 0.06, c: 0.05, d: 0.05, m: 0.03, u: 0.03, p: 0.03, b: 0.01, f: 0.01, q: 0.01, v: 0.01, g: 0.01, y: 0.01, h: 0.0, x: 0.0, z: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1000: e: 0.14, a: 0.11, o: 0.09, r: 0.07, i: 0.07, n: 0.07, s: 0.07, t: 0.06, l: 0.06, c: 0.05, d: 0.05, m: 0.03, u: 0.03, p: 0.02, b: 0.01, f: 0.01, g: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.0, h: 0.0, x: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1100: e: 0.14, a: 0.11, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, t: 0.06, l: 0.06, d: 0.05, c: 0.05, m: 0.03, u: 0.03, p: 0.03, b: 0.01, f: 0.01, g: 0.01, q: 0.01, v: 0.01, y: 0.01, z: 0.0, h: 0.0, x: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1200: e: 0.14, a: 0.12, i: 0.08, o: 0.08, n: 0.07, s: 0.07, r: 0.07, t: 0.06, l: 0.06, d: 0.06, c: 0.05, u: 0.03, m: 0.03, p: 0.02, b: 0.01, f: 0.01, g: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, h: 0.0, x: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1300: e: 0.14, a: 0.12, i: 0.08, o: 0.08, s: 0.07, n: 0.07, r: 0.07, t: 0.06, l: 0.06, d: 0.06, c: 0.05, u: 0.03, m: 0.03, p: 0.03, f: 0.01, b: 0.01, g: 0.01, v: 0.01, q: 0.01, y: 0.01, z: 0.01, h: 0.0, x: 0.0, j: 0.0, w: 0.0, k: 0.0
Iteration 1400: e: 0.14, a: 0.12, o: 0.08, i: 0.08, n: 0.07, r: 0.07, s: 0.07, l: 0.06, t: 0.06, d: 0.05, c: 0.05, u: 0.03, m: 0.03, p: 0.03, f: 0.01, b: 0.01, g: 0.01, v: 0.01, q: 0.01, z: 0.01, y: 0.01, h: 0.0, x: 0.0, j: 0.0, w: 0.0, k: 0.0
